porg_plant_material_id,plant_id,plant_name,material_id,material_name,purchasing_org_id,user_id,supplier_id,supplier_name,supplier_plant,valid_from,valid_to,user_purchase_org_id,rejection_reason
880,5,DKBL OU,200331-000000,nan,1,nan,15246,NEWSUL SA EMBALAGENS E COMPONENTES,BENTO G 000355,,,,Foreign key violation - referenced ID not found in master table
881,5,DKBL OU,200334-000000,nan,1,nan,17967,GRAFDIL IMPRESSOS LTDA,DOIS IRMAOS,,,,Foreign key violation - referenced ID not found in master table
882,5,DKBL OU,200334-000000,nan,1,nan,22841,RIVER PRINT IMPRESSOS LTDA,PORTO ALEGRE,,,,Foreign key violation - referenced ID not found in master table
883,5,DKBL OU,200334-000000,nan,1,nan,24049,DELTA IND E COM DE ETIQUETAS LTDA,CURITIBA,,,,Foreign key violation - referenced ID not found in master table
884,5,DKBL OU,200335-000000,nan,1,nan,15244,MADEIREIRA SANLU LTDA,CANOAS,,,,Foreign key violation - referenced ID not found in master table
885,5,DKBL OU,200335-000000,nan,1,nan,28982,M R COMERCIO  DE EMBALAGENS DE MADEIRAS EIRELI,PORTAO,,,,Foreign key violation - referenced ID not found in master table
886,5,DKBL OU,200409-000000,nan,1,nan,15265,GIOVANE ALGAYER DO NASCIMENTO,GRAVATAI,,,,Foreign key violation - referenced ID not found in master table
887,5,DKBL OU,200409-000000,nan,1,nan,19651,ARMAZEM OFFSHORE DE MACAE COM E IMP DE EQUIP PARA PETROLEO LTDA,VILA VELHA,,,,Foreign key violation - referenced ID not found in master table
888,5,DKBL OU,200409-000000,nan,1,nan,24968,SUPER COM DE PROD  E SER OFFSHORE,MACAE,,,,Foreign key violation - referenced ID not found in master table
889,5,DKBL OU,200437-000000,nan,1,nan,27327,"M B IMPORTACAO, INDUSTRIA E COMERCIO DE EMBALAGENS PLASTICAS LTDA",ESTEIO,,,,Foreign key violation - referenced ID not found in master table
890,5,DKBL OU,200443-000000,nan,1,nan,21287,METALACRE IND E COM DE LACRES LTDA,GUARULHOS,,,,Foreign key violation - referenced ID not found in master table
891,5,DKBL OU,200467-000000,nan,1,nan,19651,ARMAZEM OFFSHORE DE MACAE COM E IMP DE EQUIP PARA PETROLEO LTDA,VILA VELHA,,,,Foreign key violation - referenced ID not found in master table
892,5,DKBL OU,200467-000000,nan,1,nan,19984,SEAFIX DO BRASIL LTDA,RIO DE JANEIRO,,,,Foreign key violation - referenced ID not found in master table
893,5,DKBL OU,200468-000000,nan,1,nan,19651,ARMAZEM OFFSHORE DE MACAE COM E IMP DE EQUIP PARA PETROLEO LTDA,VILA VELHA,,,,Foreign key violation - referenced ID not found in master table
894,5,DKBL OU,200468-000000,nan,1,nan,19984,SEAFIX DO BRASIL LTDA,RIO DE JANEIRO,,,,Foreign key violation - referenced ID not found in master table
895,5,DKBL OU,200469-000000,nan,1,nan,15134,GREIF EMB IND DO BRASIL LTDA,ESTEIO,,,,Foreign key violation - referenced ID not found in master table
896,5,DKBL OU,200476-000000,nan,1,nan,21338,SCHUTZ VASITEX IND DE EMB LTDA,GUARULHOS,,,,Foreign key violation - referenced ID not found in master table
897,5,DKBL OU,200481-000000,nan,1,nan,24805,RUA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,PORTO ALEGRE,,,,Foreign key violation - referenced ID not found in master table
898,5,DKBL OU,200481-000000,nan,1,nan,28140,AERZ QUIMICA INDUSTRIAL LTDA,ENCANTADO,,,,Foreign key violation - referenced ID not found in master table
899,5,DKBL OU,200483-000000,nan,1,nan,24049,DELTA IND E COM DE ETIQUETAS LTDA,CURITIBA,,,,Foreign key violation - referenced ID not found in master table
900,5,DKBL OU,200486-000000,nan,1,nan,24284,INCAPACK INDÚSTRIA DE EMBALAGENS PLÁSTICAS LTDA,CURITIBA,,,,Foreign key violation - referenced ID not found in master table
901,5,DKBL OU,200487-000000,nan,1,nan,26929,PANIZZON INDUSTRIA E COMERCIO DE PLASTICOS LTDA,FLORES DA CUNHA,,,,Foreign key violation - referenced ID not found in master table
902,5,DKBL OU,200492-000000,nan,1,nan,16802,BRESSAN IND E COM DE EMBALAGENS LTDA,CANOAS,,,,Foreign key violation - referenced ID not found in master table
903,5,DKBL OU,200492-000000,nan,1,nan,23050,MED AMBIENTAL ARMAZEM GERAL EIRELI,DUQUE DE CAXIAS,,,,Foreign key violation - referenced ID not found in master table
904,5,DKBL OU,200493-000000,nan,1,nan,23227,SL PLASTIK IND E COM EIRELI,CABREUVA,,,,Foreign key violation - referenced ID not found in master table
905,5,DKBL OU,200495-000000,nan,1,nan,21338,SCHUTZ VASITEX IND DE EMB LTDA,GUARULHOS,,,,Foreign key violation - referenced ID not found in master table
906,5,DKBL OU,200496-000000,nan,1,nan,15246,NEWSUL SA EMBALAGENS E COMPONENTES,BENTO G 000355,,,,Foreign key violation - referenced ID not found in master table
